Censo 2022,,
,Unidade da Federação Sigla,Total
0,Rondônia,1581196
1,Acre,830018
2,Amazonas,3941613
3,Roraima,636707
4,Pará,8120131
5,Amapá,733759
6,Tocantins,1511460
7,Maranhão,6776699
8,Piauí,3271199
9,Ceará,8794957
10,Rio Grande do Norte,3302729
11,Paraíba,3974687
12,Pernambuco,9058931
13,Alagoas,3127683
14,Sergipe,2210004
15,Bahia,14141626
16,Minas Gerais,20539989
17,Espírito Santo,3833712
18,Rio de Janeiro,16055174
19,São Paulo,44411238
20,Paraná,11444380
21,Santa Catarina,7610361
22,Rio Grande do Sul,10882965
23,Mato Grosso do Sul,2757013
24,Mato Grosso,3658649
25,Goiás,7056495
26,Distrito Federal,2817381
